species,condition,animal,fwhm_h,peak6_frac,max_jump,peak_to_mean,vector_r,n_peaks
A. pennsylvanica,LD,Ag28M,3,0.49256906574715753,0.936473103118924,5.300311434808337,0.2977683627699659,4
A. pennsylvanica,LD,Ag29M,2,0.5496595838179776,0.9133298089268181,4.1154172959999755,0.4317675788104758,4
A. pennsylvanica,LD,Ag49M,4,0.44423753362300844,0.8294117647058825,3.3767846058348847,0.3001690443421455,5
A. pennsylvanica,LD,Ag58M,6,0.5522292410509932,0.9502407704654896,4.1065641307333145,0.3943639475230972,5
A. pennsylvanica,LD,Ag68M,5,0.43768269997342546,0.7976190476190476,3.2909912304012763,0.2691179815621076,7
A. pennsylvanica,LD,Ag93M,1,0.6160900375156315,0.7725321888412017,6.992913714047521,0.5628372175827919,4
A. pennsylvanica,LD,Ag45F,2,0.5639458751636841,0.9429569266589057,6.020078568310782,0.4134304840823957,5
A. pennsylvanica,LD,Ag76F,1,0.40096214181133655,0.9262981574539364,5.99372516209998,0.17516585360486783,5
A. pennsylvanica,LD,Ag90F,1,0.6660792951541851,1.0,9.959471365638768,0.6085576758220596,3
S. grossa,DD,SgA3,4,0.7654282609835277,0.9685301415851701,5.078820180593172,0.5511497132575931,4
S. grossa,DD,SgA4,4,0.6960802933812018,0.7552083333333336,4.901313761378004,0.5705606641700428,4
S. grossa,DD,SgA9,1,0.6680381030757929,0.7567517536378482,7.96283544937166,0.528350293285723,2
S. grossa,DD,SgA11,8,0.41273692893410424,0.7018970189701897,2.7350539382242833,0.3218335019095705,7
S. grossa,DD,SgA12,4,0.6676967740834006,0.8686679174484052,5.187999878968331,0.4156075037434843,4
S. grossa,DD,SgA13,4,0.7207717765280554,0.6295562038007307,4.727757584188255,0.6307939937579699,4
S. grossa,DD,SgA14,1,0.6080240852197291,1.0,8.866126579604602,0.5117795356464023,4
S. grossa,DD,SgA15,2,0.9092459390425083,0.962232640660934,9.626965802753757,0.8857828221971822,1
S. grossa,DD,SgA17,2,0.49859240376030045,1.0,4.776833596142003,0.27812361466853186,6
S. grossa,DD,SgA18,4,0.6452356031211242,0.960698689956332,5.059746753199093,0.4233701104123092,5
S. grossa,DD,SgA19,3,0.41433894261636023,0.8297544910179641,3.7467419932345734,0.2576636797136724,7
S. grossa,DD,SgA21,4,0.6967178491945635,0.8356904386534358,5.624046370561449,0.5976447226007706,5
S. grossa,DD,SgA22,3,0.6530393698936252,0.7021733039823896,5.297666498673669,0.5763863651821243,5
S. grossa,DD,SgA25,4,0.7135186344214156,0.7544327212935051,4.99404469812482,0.6041022105273999,4
S. grossa,DD,SgB5,6,0.39026863820059393,0.8112629329734594,3.5609959952015755,0.22722177472558214,5
S. grossa,DD,SgB6,5,0.5387465055937193,0.959641255605381,3.482909471204211,0.34937137237994603,9
S. grossa,DD,SgB13,3,0.6155471270807765,0.8823529411764708,5.479750590837226,0.4941001395316787,5
S. grossa,DD,SgB14,2,0.37655255578395036,0.6690519887108466,4.845267715886636,0.296979621952419,5
S. grossa,DD,SgB15,13,0.35593699064435863,0.83125,2.061743119601821,0.1744008480058288,7
S. grossa,DD,SgB17,3,0.35487056247689563,0.9248052970068655,3.1735178937763298,0.1471746066348377,7
S. grossa,DD,SgB19,3,0.5313400386423193,0.9980092829348655,5.815605618606901,0.494639301179268,4
S. grossa,DD,SgB20,7,0.6705657429188333,0.6232475873761086,3.560652000748457,0.570485496179393,5
S. grossa,DD,SgB22,2,0.5314920318895723,0.8218668244674225,5.022485748955362,0.28929066393287056,7
S. grossa,DD,SgB23,3,0.5845676109548419,1.0,5.299686735726354,0.30531090293668733,5
S. grossa,LD,SgA4,2,0.5702969526859278,0.9433962264150942,7.470372795218682,0.3458151806610034,3
S. grossa,LD,SgA5,2,0.7938931297709925,1.0,7.709312977099237,0.6930834011297281,3
S. grossa,LD,SgA10,2,0.642927607717975,0.7303267973856209,5.993036413753086,0.45742727353956325,3
S. grossa,LD,SgA11,1,0.6946468347887924,0.9565689467969598,12.234790991834195,0.5675545787580454,2
S. grossa,LD,SgA12,1,0.7569720180936401,1.0,8.4496116598926,0.5935899921740423,3
S. grossa,LD,SgA13,1,0.5967921860040231,0.9740535731936346,8.531028485599096,0.3585791797960086,3
S. grossa,LD,SgA16,5,0.631755892858585,0.8000000000000002,4.682309176897466,0.4747901959294631,4
S. grossa,LD,SgA17,1,0.8003301355153043,1.0,10.585757264185748,0.6439637195951458,1
S. grossa,LD,SgA18,3,0.508381142183438,0.9201058201058201,6.712806523379886,0.49470028972102026,2
S. grossa,LD,SgA19,1,0.7271136286858975,0.7358877325764742,10.60792784386304,0.5182427936641311,1
S. grossa,LD,SgB1,2,0.8833508482209879,0.8011363636363636,11.414502326977933,0.7955299059282721,1
S. grossa,LD,SgB5,1,0.9872527024270857,0.8957528957528957,13.311849887823783,0.9359621172620806,2
S. grossa,LD,SgB11,2,0.7003647733194373,1.0,6.933611255862431,0.5080902999536911,2
S. grossa,LD,SgB12,3,0.8822693814299859,1.0,7.289569971159229,0.7498809342733277,3
S. grossa,LD,SgB13,4,0.6966292134831462,1.0,6.3370786516853945,0.5396348476103401,4
