species,tau_h,kappa,y_th,fwhm,peak6,p2m,A_L,published
S. grossa,1.5,10,0.5,7,0.44689725781029044,2.215135878255047,0.6552527028714564,False
S. grossa,1.5,10,0.6,7,0.5040018324729072,2.297306761610245,0.5631212221802182,False
S. grossa,1.5,30,0.25,7,0.48348114815902293,2.5973051898074044,0.7817846257889403,False
S. grossa,1.5,30,0.3,4,0.44152617747193523,2.6327779191037504,0.8458346170384627,False
S. grossa,1.5,30,0.4,3,0.4286390795035208,2.8128643685586305,0.8820383321481022,False
S. grossa,1.5,30,0.5,3,0.4379822323771589,2.782082243941806,0.8283252039415329,False
S. grossa,1.5,30,0.6,7,0.502026835536877,2.4842608235449677,0.6865096157942691,False
S. grossa,1.5,60,0.25,8,0.5081518015045913,2.6753134377988688,0.862069246706543,False
S. grossa,1.5,60,0.3,3,0.4520469876309269,2.7774742160598507,0.8975211391583515,False
S. grossa,1.5,60,0.4,3,0.43425501496481894,2.9420518625105982,0.9263108181738786,False
S. grossa,1.5,60,0.5,3,0.4425266398698184,2.9844883777605395,0.8997796627356436,False
S. grossa,1.5,60,0.6,7,0.4975825184209323,2.6076018892846955,0.767301973811716,False
S. grossa,2.0,10,0.25,4,0.3920919745859412,2.043912388925337,0.6367944105892809,False
S. grossa,2.0,10,0.3,3,0.3945001869414829,2.1752913415908535,0.7015332710310858,False
S. grossa,2.0,10,0.4,4,0.42289697336041226,2.246411325440896,0.7576416460563208,False
S. grossa,2.0,10,0.5,7,0.46944181089197934,2.2914474607102613,0.7208488160155616,False
S. grossa,2.0,10,0.6,7,0.516532332227805,2.389666794537791,0.6085477915384443,False
S. grossa,2.0,30,0.25,5,0.4816751907182242,2.6346074789988223,0.8176967552744472,False
S. grossa,2.0,30,0.3,4,0.45979705002530913,2.5659800287572,0.8964133843602378,False
S. grossa,2.0,30,0.4,4,0.45722232268259017,2.772955232070162,0.9335357168150237,False
S. grossa,2.0,30,0.5,4,0.4672930293416385,2.7829792305233103,0.8720084093850935,False
S. grossa,2.0,30,0.6,7,0.5165292155047208,2.5071330285538833,0.7192427871713107,False
S. grossa,2.0,60,0.25,5,0.5011405799674657,2.731939444523397,0.8774070264335783,False
S. grossa,2.0,60,0.3,4,0.46931085529438077,2.69084913719399,0.9287473200811545,False
S. grossa,2.0,60,0.4,4,0.4638036574042068,2.885967287175353,0.9566895201780088,False
S. grossa,2.0,60,0.5,4,0.4729028225691563,2.9637253707011237,0.9214520010811489,False
S. grossa,2.0,60,0.6,7,0.5129962277799001,2.602132573794887,0.786705367624694,False
S. grossa,3.0,10,0.25,5,0.40606935759150303,2.0738717163881186,0.6622989352525207,False
S. grossa,3.0,10,0.3,4,0.4174823078174456,2.197143112295689,0.7457058176401108,True
S. grossa,3.0,10,0.4,5,0.4509880800244942,2.327500388061938,0.8308858253358611,False
S. grossa,3.0,10,0.5,7,0.4962472710282947,2.4100563503151107,0.8059669803406688,False
S. grossa,3.0,10,0.6,7,0.5340620393008964,2.501081215088283,0.6718222260284771,False
S. grossa,3.0,30,0.25,5,0.4787389103068204,2.4933319735256445,0.8299639353492003,False
S. grossa,3.0,30,0.3,4,0.47857488158786354,2.588280474290684,0.9341851399553909,False
S. grossa,3.0,30,0.4,4,0.49504145343502204,2.656730185675558,0.9873305304528592,False
S. grossa,3.0,30,0.5,5,0.5087860897588921,2.6808784327200987,0.9253952611710654,False
S. grossa,3.0,30,0.6,7,0.5356859561419441,2.5672558890042896,0.7632425540612086,False
S. grossa,3.0,60,0.25,5,0.494285566845829,2.5856628884772537,0.8790601946338337,False
S. grossa,3.0,60,0.3,5,0.4871608882441429,2.6201507645800644,0.9584233875398342,False
S. grossa,3.0,60,0.4,5,0.5009209649655266,2.672412643329113,0.9952885966843035,False
S. grossa,3.0,60,0.5,5,0.5132569040459221,2.8192818449650487,0.9497522181086407,False
S. grossa,3.0,60,0.6,7,0.53322060348017,2.6088274739201176,0.8124893157809685,False
