species,variant,beta,n,pct_rhythmic_DD,pct_entrained_LS,pct_entrained_true,tau_DD_mean,tau_DD_sd,tau_LS_LD_mean,tau_LS_LD_sd,A_DD,A_LD,phase_ZT,vector_r,light_dark,fwhm_LD,peak6_LD,max_jump_LD,edge_sharp_LD,damping_LD,peaks_per_day,tau_LD_sd_entrained
L. cornutus,fitted,0.75,500,88.2,95.8,94.39999999999999,25.54113896825397,1.939596503631069,23.994938392549273,0.011911057584089975,0.6623685,0.8632928,18.816158442054466,0.7608644442953031,0.10941054,4.38,0.7866909172782933,0.4664068808772634,0.06230808621261071,1.000024,0.9726587728740581,0.011421801528469108
L. cornutus,fitted,1.0,500,88.2,97.0,96.6,25.54113896825397,1.939596503631069,23.997370857003553,0.05999788209043036,0.6623685,0.9072472,18.312677580317082,0.7704106549949881,0.08975044,4.054,0.8015997175493952,0.5054534065118915,0.06785233964210345,1.00277,0.9761463939720129,0.011137131487054343
L. cornutus,fitted,1.5,500,88.2,97.2,96.8,25.54113896825397,1.939596503631069,23.994343131938034,0.0086954581657458,0.6623685,0.95368165,17.656565041148284,0.7845258989047985,0.06798123,3.692,0.8237425484873568,0.5422032324705061,0.07880863072430944,1.0003924,0.9770505920344456,0.008225039060926347
L. cornutus,fitted,2.0,500,88.2,97.6,97.39999999999999,25.54113896825397,1.939596503631069,23.99503377683269,0.00782928537934836,0.6623685,0.97581035,17.192024912261424,0.796045415843003,0.055290665,3.508,0.8383521559348622,0.5897401842587096,0.08819286276798712,0.9989583,0.9800215285252959,0.006662755111267958
S. grossa,fitted,0.0,500,69.19999999999999,16.2,0.6,22.827979810189813,3.883052262806827,22.92959151148115,3.611087310660912,0.48264158,0.519896,17.01507062274798,0.11921562762484719,0.8547546,10.194,0.3172798348072417,0.2835853548666022,0.128773998207484,1.036352,1.0368,0.6973765588640125
S. grossa,fitted,0.03,500,69.19999999999999,16.6,2.8000000000000003,22.827979810189813,3.883052262806827,22.812512562057133,3.570766206042516,0.48264158,0.5197119,17.013921522937633,0.11784290771859936,0.84420764,10.25,0.3175452442757337,0.2931126429207736,0.13701244303299165,1.0298511,1.0355409836065574,0.5997256436849364
S. grossa,fitted,0.06,500,69.19999999999999,17.0,8.200000000000001,22.827979810189813,3.883052262806827,22.767227288201912,3.517280939584018,0.48264158,0.5182899,16.54434477386028,0.11789477890063439,0.83413565,10.242,0.31993998897810944,0.30071751513460526,0.14101782485161415,1.0199329,1.0415213114754096,0.409970149529552
S. grossa,fitted,0.09,500,69.19999999999999,21.4,13.4,22.827979810189813,3.883052262806827,22.718851960843924,3.440179578635389,0.48264158,0.51928014,16.250007875078726,0.12173921728716007,0.8279744,10.062,0.3242201368965852,0.30923480573614026,0.1331016158091351,1.0178516,1.0437245901639345,0.30925537141974024
S. grossa,fitted,0.12,500,69.19999999999999,24.4,17.2,22.827979810189813,3.883052262806827,22.65560392868584,3.3895561652636768,0.48264158,0.52215934,15.673667237964835,0.12700620447413682,0.8110427,9.952,0.3289003315005882,0.3121931950050911,0.12580615930722816,1.0307977,1.0427803278688523,0.2251642058362424
S. grossa,fitted,0.2,500,69.19999999999999,37.4,26.200000000000003,22.827979810189813,3.883052262806827,22.571730085311035,3.2506037094674483,0.48264158,0.5290564,14.29296285045103,0.14583750594739503,0.79143953,9.124,0.34384850397198496,0.3268797287712895,0.11688143700593608,1.0340021,1.0635540983606557,0.2493833560647701
S. grossa,fitted,0.3,500,69.19999999999999,44.4,31.6,22.827979810189813,3.883052262806827,22.463139125094163,3.1644548921428,0.48264158,0.54530686,14.006022522828468,0.167340054216939,0.7558745,8.824,0.36024241489814635,0.3288272117118387,0.10078433311010664,1.0282072,1.0654426229508196,0.18485996043471048
S. grossa,fitted,0.5,500,69.19999999999999,55.00000000000001,44.4,22.827979810189813,3.883052262806827,22.517769609562514,3.053415502419441,0.48264158,0.57942635,13.82495955167429,0.2011836718176186,0.72037154,8.034,0.38651158265370106,0.3432875241250352,0.0854958708989251,1.0147941,1.0780327868852457,0.1828537158491465
S. grossa,fitted,0.75,500,69.19999999999999,60.4,55.2,22.827979810189813,3.883052262806827,22.490315012639346,2.977354627132711,0.48264158,0.6162744,13.69733926518144,0.227307515064096,0.6802403,7.64,0.40767006626026814,0.3662808188008774,0.07231484119097331,1.0043219,1.0966032786885247,0.0763677452024661
S. grossa,fitted,1.0,500,69.19999999999999,63.4,59.8,22.827979810189813,3.883052262806827,22.498984554558167,2.954371794482548,0.48264158,0.65166354,13.64678884548092,0.24475128487610784,0.6561085,7.592,0.4222239825596185,0.3922917057660018,0.07303685744887883,1.0096773,1.116432786885246,0.07201777790694472
S. grossa,fitted,1.5,500,69.19999999999999,68.8,66.60000000000001,22.827979810189813,3.883052262806827,22.611219600867184,2.9714840458367027,0.48264158,0.7036821,13.667304460134545,0.2678616138484636,0.6221004,7.026,0.44403756036005515,0.4297507527937374,0.06993491914620263,1.0048177,1.1441311475409834,0.06302438364200497
S. grossa,fitted,2.0,500,69.19999999999999,71.8,68.60000000000001,22.827979810189813,3.883052262806827,22.867919157707682,2.8115297012139218,0.48264158,0.7480341,13.647240948470442,0.2829182715182123,0.6016785,6.664,0.45865465238008707,0.46116960734567203,0.07221340757437926,1.0010868,1.1759213114754097,0.06603952556406946
